   rho,    25hz,   100hz,   300hz,   900hz
-1.000,  -3.668,  -3.668,  -6.495, -12.781
-0.783,  -2.838,  -2.838,  -6.275, -13.889
-0.589,  -2.785,  -3.894,  -7.331, -13.966
-0.262,  -3.343,  -3.564,  -7.833, -14.049
 0.204,  -3.458,  -4.068,  -9.168, -15.664
 0.498,  -5.901,  -6.954, -10.114, -17.238
 0.874,  -8.843,  -12.28, -15.772, -21.569
 0.968, -13.329, -14.881, -18.043, -26.111
 0.992, -17.572, -17.572, -21.257, -26.432
 0.998, -19.412,   -19.5, -21.857, -26.216
 1.000, -20.028, -20.512, -22.228, -26.803
