 tau, NtauS0, NpiStau,  NtauSpi,  N0Stau
   0, 59.8778, 59.2252,  46.922, 46.8258
 125, 58.1469, 58.0488, 46.9243, 46.8602
 250, 54.9887, 54.4202, 47.0547, 46.8331
 375, 52.3922, 51.9659, 49.6547, 47.9208
 500, 50.9167, 48.6561,  50.523, 48.4625
 625, 48.9145, 47.9733, 53.2832,  51.805
 750, 49.2059, 46.8735,  55.915, 54.0805
 875, 48.9478, 46.9109, 58.3546, 57.9471
1000, 49.2914, 46.8362, 59.5114, 59.1723
1125, 49.3138, 46.9176,  58.744, 58.1402
1250, 50.5018, 46.8714, 56.2128, 54.1341
1375, 50.7942, 48.0285, 54.9002, 51.9443
1500, 52.6577, 48.4547, 53.1706, 48.6176
1625, 54.5912, 51.9328,  51.409, 48.0435
1750,  55.525, 54.1434, 50.6095, 47.0005
1875, 58.5786, 58.2022,  50.195, 46.9551
2000, 58.8953, 59.2948, 50.3576, 46.8984
2125, 57.9195, 58.2205, 49.9427, 46.9552
2250, 57.9904, 54.2542,   51.26, 46.8697
2375, 55.1486, 51.9145, 52.6734,  48.026
2500, 53.8572, 48.6117, 53.4453, 48.4564
2625,  52.197, 48.0526, 55.1471, 51.5967
2750, 52.3917, 46.9575, 56.8171, 54.2341
2875, 51.5701, 46.9728, 58.1342, 58.1531
3000, 51.9642, 46.8985, 60.0285,  59.265
3125, 51.6892, 46.9395, 59.5497,  58.184
3250,  53.177, 46.9705, 59.4558, 54.5709
3375, 55.1859, 48.1052, 57.5659, 52.0207
3500, 55.4486, 48.5404, 57.3436, 49.0929
3625, 57.7972, 52.0803, 54.8766, 48.0769
3750, 57.7769,   54.54, 55.1353, 46.9726
3875, 58.6323, 58.2628, 54.0794, 46.9866
4000, 57.5005, 59.3417, 53.2799,  46.867
4125, 59.9882, 58.2041, 54.6931, 46.9582
